Date,Jour,Démarrer,Terminer,Total,Total (decimal),Pause,Tâche,Tâche ID,Tâche Extra 1,Tâche Extra 2,Client,Notes tâche,Jour Total,Notes journée
2021-02-03,Ven,08:56,10:20,01.40,13.40,00.53,oas. Occu Approche,7,,,seul sur la position,,05.80,
2021-02-05,Ven,10:52,12:00,01.13,01.13,01.92,ots. Occu Tour,5,,,seul sur la position,,,
2021-02-05,Ven,13:55,15:45,01.83,01.83,00.18,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-05,Ven,15:56,17:22,01.43,01.43,,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-06,Sam,18:46,02:18,07.53,07.53,,ots. Occu Tour,5,,,seul sur la position,,07.53,
2021-02-10,Mer,06:57,08:11,01.23,01.23,00.32,ots. Occu Tour,5,,,seul sur la position,,03.97,
2021-02-10,Mer,08:30,09:16,00.77,00.77,01.73,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-10,Mer,11:00,12:58,01.97,01.97,,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-11,Jeu,13:04,15:27,02.38,02.38,00.68,oti. Occu Tour (instructeur),14,,,heures instructeur,,05.03,
2021-02-11,Jeu,16:08,18:47,02.65,02.65,,ots. Occu Tour,5,,,seul sur la position,,,
2021-02-12,Ven,14:30,19:07,04.62,04.62,,ots. Occu Tour,5,,,seul sur la position,,04.62,
2021-02-22,Lun,06:45,08:14,,,00.00,ots. Occu Tour,5,,,seul sur la position,,05.13,
2021-02-22,Lun,08:14,09:11,00.95,00.95,00.32,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-22,Lun,09:30,09:46,01.50,01.50,00.28,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-22,Lun,10:03,10:59,00.93,00.93,00.35,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-22,Lun,11:20,12:50,01.50,01.50,,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-23,Mar,08:50,09:39,00.82,00.82,,oas. Occu Approche,7,,,seul sur la position,,00.82,
2021-02-24,Mer,13:05,13:13,00.13,00.13,00.80,oas. Occu Approche,7,,,seul sur la position,,04.43,
2021-02-24,Mer,14:01,15:04,01.05,01.05,00.00,ots. Occu Tour,5,,,seul sur la position,,,
,Mer,15:04,16:02,00.97,00.97,00.00,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-24,Mer,16:02,17:41,01.65,01.65,00.83,ots. Occu Tour,5,,,seul sur la position,,,
2021-02-24,Mer,18:31,19:09,00.63,00.63,,oas. Occu Approche,7,,,seul sur la position,,,
2021-02-28,Dim,09:08,11:15,02.12,02.12,00.02,ors. Occu Approche,7,,,seul sur la position,,03.83,
2021-02-28,Dim,11:16,11:51,00.58,00.58,00.00,fts. Occu Tour,5,,,seul sur la position,,,
2021-02-28,Dim,11:51,12:59,01.13,01.13,,ot,5,,,seul sur la position,,,
